epi_mcode,parid,loglik,rho,tau,beta1,beta2,beta3,beta4,beta5,beta6,nu,gamma,sigma,theta0,alpha,mu,sig_sq,delta,S_0,E_0,I_0,A_0,R_0,incid_0,pop_0
final,127,-1606.1332719275028,0.21162738891558494,421.74537844670664,6.118509617527316,3.6534447112108186,4.521698614654654,3.3353881703673904,5.745918683275051,2.424072627489316,0.9692121788210288,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09654377085248313,1.4331703604564272e-4,0.8136150671223021,6.698336102436342e-5,9.417122971158903e-5,0,0.1862237782869619,3099,11659612
final,103,-1606.1828492653974,0.5908915906429719,288.2663241469797,4.148136986332258,3.4279649561371714,2.7782632588205454,3.163817562998327,3.957647941940166,2.597533344682598,0.9827171607907351,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09579197326012275,1.4331703604564272e-4,0.9253351009477855,1.3294848606412525e-5,1.741196301355963e-5,0,0.07463419224059453,572,11658651
final,289,-1606.2406868870924,0.3015508171248187,200.50885196104161,6.235897114715523,3.1753502482796057,4.611709765012778,3.123479408126149,5.6032157891691785,2.313019905534647,0.9627757859026917,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09111454868332775,1.4331703604564272e-4,0.8653110244220257,5.772474115857244e-5,7.067635470232346e-5,0,0.13456057448211334,2236,11658779
final,199,-1606.2438569439814,0.45179716801333125,201.90157789082093,5.298857546444824,2.3312304928228014,3.807155955904696,2.3307528205377035,4.925809414080461,1.5693658385488873,0.9857019657827079,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09156819844292813,1.4331703604564272e-4,0.9027465610947132,1.6811549053870036e-5,2.0928663107879025e-5,0,0.09721569869312507,677,11658652
final,83,-1606.2808409224358,0.2660361730800978,286.2385736932625,6.1848718946116925,2.4623853950975794,4.6900383092951685,2.595210525111901,5.477912718062353,2.019594216839599,0.975552848450961,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08521115281199867,1.4331703604564272e-4,0.8523369709210555,4.974733073406389e-5,6.715889649098626e-5,0,0.14754612285171942,2243,11658917
final,266,-1606.3841359718508,0.41517329575830775,231.66086149072305,5.288831249540835,2.358342555721745,3.9701811354619734,2.1189736271621284,5.2523575645620175,1.3277328001949773,0.9863816046414986,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08972312005183533,1.4331703604564272e-4,0.9003749747618089,7.976726485253606e-6,1.1579119091497169e-5,0,0.09960546939261439,379,11658918
final,385,-1606.5088040493495,0.25514256587127193,225.86264388338904,6.947152491728351,2.433341945033015,5.412833645037866,2.32714157319485,6.317969118999167,1.6914965213066047,0.9667511286779272,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08873986268668066,1.4331703604564272e-4,0.8417989934422275,5.008944912069859e-5,6.492759072665896e-5,0,0.15808598951792519,2006,11659142
final,193,-1606.5568356888812,0.36192098114771926,173.2644766946089,4.856350780663732,3.3059405593018734,3.516169582603554,3.2743055921050024,4.46070239641619,2.5939403302929307,0.976223291768205,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.07820278937610559,1.4331703604564272e-4,0.8893290700845845,4.1082942945312514e-5,5.634967330912385e-5,0,0.110573497299161,1763,11659340
final,163,-1606.8268791607777,0.21202994348083784,344.45709708339996,6.58129366672287,2.0973582913221795,5.03362533204844,2.1718903360947013,6.093528939533527,1.3922178418320768,0.9839512569355044,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09627413682472129,1.4331703604564272e-4,0.8098167433738226,7.23042852511266e-5,1.012946155178891e-4,0,0.19000965772540834,3327,11659060
final,87,-1606.845255493728,0.33903475757838314,324.1576885825521,6.049797239087187,2.291818635370581,4.484415660841962,2.4675768161765808,5.145753278095917,1.824944658626086,0.9768313408766299,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.10493409267422152,1.4331703604564272e-4,0.8803589540157176,2.616032850510877e-5,3.6109830493937024e-5,0,0.11957877582528331,1247,11658875
final,206,-1606.850382181565,0.5011722580808333,325.98415665766794,5.2198197918486855,2.3619796846040146,3.7365551980137375,2.7223785531218643,4.534119877158577,1.9987879282847487,0.9826240886452864,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09866066083924721,1.4331703604564272e-4,0.9081455587375838,1.852664934139048e-5,2.2643682528366144e-5,0,0.09181327093054636,730,11658881
final,129,-1606.8723856926001,0.3407482841591694,149.01709441453752,5.432754849826042,3.3583397398785593,3.7816456661215807,3.2652226400149207,5.014272464340529,2.524588317453156,0.970872189976823,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09196727613226556,1.4331703604564272e-4,0.872338325023285,2.8133311066846892e-5,3.799712439821089e-5,0,0.12759554454124988,1292,11658777
final,109,-1606.8751776252097,0.21898882413360196,189.84005921743014,6.297161300174916,2.8408620542642367,4.89537079748204,2.8608011729743903,5.71041192031201,2.2849744191574044,0.9731674831060235,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0865033081132331,1.4331703604564272e-4,0.8163693415562856,6.115324032837489e-5,8.225239477547198e-5,0,0.18348725280861056,2679,11659235
final,143,-1606.9372219840895,0.33928614022199854,326.3261402488028,4.83271296881251,2.4505289959368635,3.694809938587577,2.517564016279741,4.502438407579195,2.0403891433174075,0.9930285673778346,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09580867032304916,1.4331703604564272e-4,0.8809034902313987,0,0,0,0.11909650976860131,0,11659141
final,37,-1606.961490941743,0.8848937290321924,225.49518786932873,4.361758028141704,2.511657494598188,3.1829602699344672,2.657100032346669,4.009606084064711,2.1112432707604363,0.9875455083365545,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.08850672032796124,1.4331703604564272e-4,0.9475952133370422,1.140800809574012e-5,1.4753213477197751e-5,0,0.05237862544138483,485,11658477
final,262,-1607.1803372087502,0.29952113051962354,298.65443790664614,5.1321256785543525,2.249979059855834,3.8526653719013044,2.450368975622492,4.613035286984064,1.8620768872502143,0.9931222317715848,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09264821488609458,1.4331703604564272e-4,0.8727553181653113,0,0,0,0.12724468183468873,0,11659002
final,58,-1607.2763624260615,0.3385539841895702,290.38460525029114,5.571119483450168,2.4205406432069387,4.288599894791333,2.2432985377772554,5.2102931764422165,1.6537616820745709,0.9820674701481796,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.07644229745214612,1.4331703604564272e-4,0.8816070278952012,4.0912115458278305e-05,5.051831447573569e-5,0,0.11830154167486473,1657,11659138
final,59,-1607.3065410271652,0.3292445503271003,205.07426849671475,4.995682568879495,2.6889360005291545,3.6099189510466934,2.742857344566972,4.661801968781198,2.158348231745816,0.9867989208288226,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.07953064581146226,1.4331703604564272e-4,0.8765455839844922,2.5045674045991404e-5,3.4652233954042906e-5,0,0.12339471810750768,1063,11658700
final,18,-1607.3342867418887,0.5832362813237422,185.03438770117222,4.574004886701501,2.304502141943506,3.458709324498563,2.4817431603187554,4.189935564774439,1.8271293077800583,0.9921080089325566,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.09436045379399269,1.4331703604564272e-4,0.9259724175800895,1.715441971186922e-6,1.54389777406823e-6,0,0.07402432308016527,54,11658803
final,139,-1607.4114179536136,0.5305893349401186,212.78566478244085,4.891429674226294,2.4502551988719117,3.9544287706365564,2.253116982317874,4.706828406669189,1.8856505581922187,0.9833410150582838,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,0.0885982394781057,1.4331703604564272e-4,0.9187373964806642,2.298761842268912e-5,3.122198920096582e-5,0,0.0812083939117122,968,11658450
